timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587977940242,2437,HTTP Request,200,OK,Thread Group 1-11,text,true,,1159374,815,200,200,http://bank.com/,9,0,6
1587977940242,9,HTTP Request-0,200,OK,Thread Group 1-11,text,true,,2545,113,200,200,http://bank.com/,9,0,6
1587977940785,591,HTTP Request-1,200,OK,Thread Group 1-11,bin,true,,3392,124,200,200,http://bank.com/favicon.ico,590,0,0
1587977940921,277,HTTP Request-2,200,OK,Thread Group 1-11,text,true,,556634,144,200,200,http://bank.com/static/css/2.a72c35d3.chunk.css,8,0,4
1587977940921,17,HTTP Request-3,200,OK,Thread Group 1-11,text,true,,1460,147,200,200,http://bank.com/static/css/main.f203cb67.chunk.css,17,0,5
1587977941543,1136,HTTP Request-4,200,OK,Thread Group 1-11,text,true,,586190,142,200,200,http://bank.com/static/js/2.b697b626.chunk.js,241,0,37
1587977941596,117,HTTP Request-5,200,OK,Thread Group 1-11,text,true,,9153,145,200,200,http://bank.com/static/js/main.a55f0fcf.chunk.js,116,0,73
1587977945241,74,HTTP Request,200,OK,Thread Group 1-111,text,true,,1159374,815,200,200,http://bank.com/,21,0,18
1587977945241,21,HTTP Request-0,200,OK,Thread Group 1-111,text,true,,2545,113,200,200,http://bank.com/,21,0,18
1587977945270,10,HTTP Request-1,200,OK,Thread Group 1-111,bin,true,,3392,124,200,200,http://bank.com/favicon.ico,10,0,6
1587977945265,34,HTTP Request-2,200,OK,Thread Group 1-111,text,true,,556634,144,200,200,http://bank.com/static/css/2.a72c35d3.chunk.css,3,0,0
1587977945271,10,HTTP Request-3,200,OK,Thread Group 1-111,text,true,,1460,147,200,200,http://bank.com/static/css/main.f203cb67.chunk.css,10,0,8
1587977945265,50,HTTP Request-4,200,OK,Thread Group 1-111,text,true,,586190,142,200,200,http://bank.com/static/js/2.b697b626.chunk.js,16,0,14
1587977945267,13,HTTP Request-5,200,OK,Thread Group 1-111,text,true,,9153,145,200,200,http://bank.com/static/js/main.a55f0fcf.chunk.js,12,0,9
1587977945220,85,HTTP Request,200,OK,Thread Group 1-110,text,true,,1159374,815,200,200,http://bank.com/,10,0,8
1587977945220,10,HTTP Request-0,200,OK,Thread Group 1-110,text,true,,2545,113,200,200,http://bank.com/,10,0,8
1587977945153,44,HTTP Request,200,OK,Thread Group 1-109,text,true,,1159374,815,200,200,http://bank.com/,3,0,2
1587977945231,2,HTTP Request-1,200,OK,Thread Group 1-110,bin,true,,3392,124,200,200,http://bank.com/favicon.ico,2,0,0
1587977945153,3,HTTP Request-0,200,OK,Thread Group 1-109,text,true,,2545,113,200,200,http://bank.com/,3,0,2
1587977945231,36,HTTP Request-2,200,OK,Thread Group 1-110,text,true,,556634,144,200,200,http://bank.com/static/css/2.a72c35d3.chunk.css,2,0,1
1587977945159,4,HTTP Request-1,200,OK,Thread Group 1-109,bin,true,,3392,124,200,200,http://bank.com/favicon.ico,2,0,1
1587977945232,2,HTTP Request-3,200,OK,Thread Group 1-110,text,true,,1460,147,200,200,http://bank.com/static/css/main.f203cb67.chunk.css,2,0,1
1587977945158,39,HTTP Request-2,200,OK,Thread Group 1-109,text,true,,556634,144,200,200,http://bank.com/static/css/2.a72c35d3.chunk.css,1,0,0
1587977945234,71,HTTP Request-4,200,OK,Thread Group 1-110,text,true,,586190,142,200,200,http://bank.com/static/js/2.b697b626.chunk.js,1,0,0
1587977945158,5,HTTP Request-3,200,OK,Thread Group 1-109,text,true,,1460,147,200,200,http://bank.com/static/css/main.f203cb67.chunk.css,5,0,3
1587977945235,4,HTTP Request-5,200,OK,Thread Group 1-110,text,true,,9153,145,200,200,http://bank.com/static/js/main.a55f0fcf.chunk.js,3,0,1
1587977945158,39,HTTP Request-4,200,OK,Thread Group 1-109,text,true,,586190,142,200,200,http://bank.com/static/js/2.b697b626.chunk.js,5,0,1
1587977945159,4,HTTP Request-5,200,OK,Thread Group 1-109,text,true,,9153,145,200,200,http://bank.com/static/js/main.a55f0fcf.chunk.js,4,0,2
1587977945297,52,HTTP Request,200,OK,Thread Group 1-112,text,true,,1159374,815,200,200,http://bank.com/,5,0,4
