timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587980490134,509,HTTP Request,200,OK,Thread Group 1-1,text,true,,1159374,815,82,82,http://bank.com/,85,0,68
1587980491926,79,HTTP Request,200,OK,Thread Group 1-22,text,true,,1159374,815,82,82,http://bank.com/,8,0,4
1587980490134,100,HTTP Request-0,200,OK,Thread Group 1-1,text,true,,2545,113,82,82,http://bank.com/,85,0,68
1587980491926,9,HTTP Request-0,200,OK,Thread Group 1-22,text,true,,2545,113,82,82,http://bank.com/,8,0,4
1587980490387,7,HTTP Request-1,200,OK,Thread Group 1-1,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,7,0,3
1587980491945,5,HTTP Request-1,200,OK,Thread Group 1-22,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,3,0,0
1587980490382,261,HTTP Request-2,200,OK,Thread Group 1-1,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,186,0,0
1587980492827,47,HTTP Request,200,OK,Thread Group 1-31,text,true,,1159374,815,82,82,http://bank.com/,3,0,2
1587980491945,60,HTTP Request-2,200,OK,Thread Group 1-22,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,8,0,7
1587980490389,182,HTTP Request-3,200,OK,Thread Group 1-1,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,181,0,0
1587980492827,4,HTTP Request-0,200,OK,Thread Group 1-31,text,true,,2545,113,82,82,http://bank.com/,3,0,2
1587980491949,3,HTTP Request-3,200,OK,Thread Group 1-22,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,3,0,0
1587980490389,135,HTTP Request-4,200,OK,Thread Group 1-1,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,22,0,18
1587980492832,4,HTTP Request-1,200,OK,Thread Group 1-31,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,3,0,0
1587980491950,45,HTTP Request-4,200,OK,Thread Group 1-22,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,5,0,3
1587980490397,115,HTTP Request-5,200,OK,Thread Group 1-1,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,115,0,14
1587980492625,52,HTTP Request,200,OK,Thread Group 1-29,text,true,,1159374,815,82,82,http://bank.com/,4,0,2
1587980492625,4,HTTP Request-0,200,OK,Thread Group 1-29,text,true,,2545,113,82,82,http://bank.com/,4,0,2
1587980492630,3,HTTP Request-1,200,OK,Thread Group 1-29,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,3,0,0
1587980492630,47,HTTP Request-2,200,OK,Thread Group 1-29,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,6,0,3
1587980492630,4,HTTP Request-3,200,OK,Thread Group 1-29,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,4,0,3
1587980492632,40,HTTP Request-4,200,OK,Thread Group 1-29,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,3,0,1
1587980492835,39,HTTP Request-2,200,OK,Thread Group 1-31,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,5,0,1
1587980492632,2,HTTP Request-5,200,OK,Thread Group 1-29,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,2,0,0
1587980492833,3,HTTP Request-3,200,OK,Thread Group 1-31,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,2,0,1
1587980491950,3,HTTP Request-5,200,OK,Thread Group 1-22,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,3,0,2
1587980492833,39,HTTP Request-4,200,OK,Thread Group 1-31,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,3,0,1
1587980492832,8,HTTP Request-5,200,OK,Thread Group 1-31,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,8,0,2
1587980492427,60,HTTP Request,200,OK,Thread Group 1-27,text,true,,1159374,815,82,82,http://bank.com/,3,0,2
1587980490826,140,HTTP Request,200,OK,Thread Group 1-11,text,true,,1159374,815,82,82,http://bank.com/,2,0,1
1587980492427,3,HTTP Request-0,200,OK,Thread Group 1-27,text,true,,2545,113,82,82,http://bank.com/,3,0,2
1587980490826,3,HTTP Request-0,200,OK,Thread Group 1-11,text,true,,2545,113,82,82,http://bank.com/,2,0,1
1587980492431,16,HTTP Request-1,200,OK,Thread Group 1-27,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,16,0,2
1587980490833,6,HTTP Request-1,200,OK,Thread Group 1-11,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,6,0,3
1587980492431,56,HTTP Request-2,200,OK,Thread Group 1-27,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,16,0,5
1587980490834,132,HTTP Request-2,200,OK,Thread Group 1-11,text,true,,556634,144,82,82,http://bank.com/static/css/2.a72c35d3.chunk.css,59,0,29
1587980492432,5,HTTP Request-3,200,OK,Thread Group 1-27,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,4,0,2
1587980490832,3,HTTP Request-3,200,OK,Thread Group 1-11,text,true,,1460,147,82,82,http://bank.com/static/css/main.f203cb67.chunk.css,3,0,2
1587980492431,53,HTTP Request-4,200,OK,Thread Group 1-27,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,2,0,0
1587980490832,128,HTTP Request-4,200,OK,Thread Group 1-11,text,true,,586190,142,82,82,http://bank.com/static/js/2.b697b626.chunk.js,86,0,0
1587980492433,14,HTTP Request-5,200,OK,Thread Group 1-27,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,14,0,5
1587980490832,27,HTTP Request-5,200,OK,Thread Group 1-11,text,true,,9153,145,82,82,http://bank.com/static/js/main.a55f0fcf.chunk.js,27,0,2
1587980492927,46,HTTP Request,200,OK,Thread Group 1-32,text,true,,1159374,815,82,82,http://bank.com/,3,0,1
1587980492927,3,HTTP Request-0,200,OK,Thread Group 1-32,text,true,,2545,113,82,82,http://bank.com/,3,0,1
1587980492931,2,HTTP Request-1,200,OK,Thread Group 1-32,bin,true,,3392,124,82,82,http://bank.com/favicon.ico,2,0,0
